菌名,菌种,来源（鸡、鸭、猪、牛、环境等）,样品（拭子、病料等）,二代测序数据,氨苄西林,头孢他啶,头孢噻呋,庆大霉素,大观霉素,四环素,氟苯尼考,复方新诺明,恩诺沙星,氧氟沙星,美罗培南,乙酰甲喹,安普霉素,黏菌素,奥格门丁,磺胺异噁唑
demo_216,沙门菌,鸡场,鸡盲肠,,>512,32.00,>256,0.50,32.00,2.00,2.00,0.5/9.5,0.50,1.00,<0.03,8,8,4.00,1/0.5,16.00
demo_217,沙门菌,鸡场,鸡盲肠,,>512,32.00,>256,0.50,128.00,2.00,4.00,0.5/9.5,8.00,8.00,<0.03,8.00,32,8.00,1/0.5,16.00
demo_218,沙门菌,鸡场,鸡盲肠,,>512,16.00,>256,1,16,1,4,<0.06/1.2,0.25,1,<0.03,8.00,8,0.5,1/0.5,256
demo_219,沙门菌,鸡场,鸡盲肠,,>512,16.00,>256,0.5,64,2,4,<0.06/1.2,0.03,0.12,<0.03,8,8,0.5,1/0.5,16
demo_220,沙门菌,鸡场,鸡盲肠,,>512,8.00,>256,8.00,128.00,64.00,>256,>32/608,>32,>64,<0.03,32,>64,>256,64/32,>512
demo_221,沙门菌,鸡场,鸡盲肠,,>512,8.00,>256,8.00,>128,32.00,>256,>32/608,8.00,16.00,0.12,32,>64,>256,8/16,>512
demo_222,沙门菌,鸡场,鸡泄殖腔,,>512,4.00,16.00,0.5,32,2,2,<0.06/1.2,0.12,0.5,<0.03,2,4,1,1/0.5,8
demo_223,沙门菌,鸭场,鸭盲肠,,>512,16.00,>256,0.50,32.00,2.00,2.00,<0.06/1.2,0.25,0.50,<0.03,4,4,2.00,1/0.5,16.00
demo_224,沙门菌,鸭场,鸭盲肠,,>512,32.00,>256,1.00,16.00,2.00,2.00,<0.06/1.2,0.25,1.00,<0.03,16,8,4.00,1/0.5,16.00
demo_225,沙门菌,鸡场,鸡泄殖腔,,>512,0.50,1.00,0.5,16,2,2,0.25/4.8,0.5,1,<0.03,8,4,4,16/8,>512
demo_226,沙门菌,鸡场,鸡泄殖腔,,>512,0.50,0.50,0.5,32,>512,>256,>32/608,>32,>64,<=0.03,4,4,0.5,1/0.5,>512
demo_227,沙门菌,鸡场,鸡泄殖腔,,>512,0.50,0.50,0.5,16,2,4,<0.06/1.2,0.25,1,<0.03,8,4,2,1/0.5,16
demo_228,沙门菌,鸡场,鸡泄殖腔,,>512,16.00,>256,0.50,16.00,2.00,4.00,<0.06/1.2,0.25,0.50,<0.03,16,8,4.00,1/0.5,32.00
demo_229,沙门菌,鸡场,鸡泄殖腔,,>512,128.00,>256,1,32,1,4,<0.06/1.2,0.06,0.25,<0.03,8,16,0.25,1/0.5,16
demo_230,沙门菌,鸡场,鸡泄殖腔,,>512,64.00,>256,0.50,16.00,2.00,2.00,0.25/4.8,0.50,1.00,<0.03,16,8,4.00,8/16,>512
demo_231,沙门菌,鸡场,鸡泄殖腔,,>512,64.00,>256,1.00,8.00,64.00,2.00,0.12/2.4,16.00,16.00,<0.03,16,16,0.50,32/16,>512
demo_232,沙门菌,,堆肥,,>512,0.25,>256,0.5,32,1,8,<0.06/1.2,0.03,0.25,<0.03,32,8,0.25,1/0.5,16
demo_233,沙门菌,,堆肥,,>512,0.50,1.00,<=0.25,16,2,2,0.12/2.4,0.25,1,<=0.03,8,8,4,4/2,>512
demo_234,沙门菌,,堆肥,,>512,2.00,1.00,0.5,16,2,2,<0.06/1.2,0.25,1,<0.03,8,4,4,1/0.5,32
